ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,t_pm_mean,t_pm_media,t_pm_min,t_pm_max
"21207","21207",B5,G6350,S,"26705585","81230","+39.3241672","-076.7194841",29.9427893198593,30.397988319397,27.3189868927002,31.8945369720459
"21209","21209",B5,G6350,S,"18343962","101688","+39.3731913","-076.6700026",30.0945765784321,30.2093801498413,28.4078273773193,31.6310863494873
"21210","21210",B5,G6350,S,"8590404","5595","+39.3591561","-076.6326854",30.2912181297813,30.4502201080322,27.6720924377441,32.4400062561035
"21211","21211",B5,G6350,S,"7217872","25184","+39.3298170","-076.6394081",31.4124318738361,31.5791130065918,28.6481666564941,33.3077278137207
"21215","21215",B5,G6350,S,"17646082","9673","+39.3452409","-076.6835656",31.4512616894114,31.481541633606,28.5252571105957,33.4067344665527
"21216","21216",B5,G6350,S,"8635708","145490","+39.3105945","-076.6717168",30.9669045884382,31.2269401550293,27.4893741607666,33.2537002563477
"21229","21229",B5,G6350,S,"15228872","9461","+39.2842394","-076.6914035",30.766605111098,31.0650806427002,27.5034465789795,33.1102905273438
"21201","21201",B5,G6350,S,"3346928","0","+39.2948226","-076.6222236",32.6240464180032,32.5780982971191,31.4561195373535,35.3017082214355
"21202","21202",B5,G6350,S,"4104677","331280","+39.2965258","-076.6070163",32.7146484937976,32.7914752960205,31.3313369750977,34.7435569763184
"21217","21217",B5,G6350,S,"5996500","191953","+39.3084728","-076.6391545",32.4211700953323,32.4609203338623,30.5953140258789,33.5271453857422
"21218","21218",B5,G6350,S,"10835058","316361","+39.3301071","-076.6014512",31.8397843164213,31.8384037017822,28.362606048584,33.6476936340332
"21223","21223",B5,G6350,S,"6816138","48191","+39.2829512","-076.6538772",32.2617327697641,32.2770843505859,30.0932331085205,34.0748443603516
"21230","21230",B5,G6350,S,"16332049","5330203","+39.2661273","-076.6238067",32.0959544754355,32.1123485565186,29.2173862457275,33.7744178771973
"21205","21205",B5,G6350,S,"5309071","0","+39.3022903","-076.5644838",32.3946761871855,32.4596786499023,29.576976776123,34.1255950927734
"21224","21224",B5,G6350,S,"24534479","8880469","+39.2748602","-076.5428334",32.2552631406478,32.137508392334,29.5716438293457,34.6157760620117
"21231","21231",B5,G6350,S,"2256237","384066","+39.2872004","-076.5919534",32.7005696892552,32.6127777099609,30.9167804718018,34.7550163269043
"21228","21228",B5,G6350,S,"40152190","107562","+39.2728571","-076.7477405",30.5388178888675,30.6056137084961,29.0856475830078,31.0818195343018
"21222","21222",B5,G6350,S,"28394454","5705215","+39.2648400","-076.4925655",31.9450105179881,31.8665065765381,30.6774101257324,33.4334564208984
"21226","21226",B5,G6350,S,"25718275","17454348","+39.2088881","-076.5629259",31.6789381578962,31.728214263916,28.8139305114746,33.3047943115234
"21225","21225",B5,G6350,S,"16768581","613825","+39.2261173","-076.6157349",31.4497785793659,31.470814704895,28.8242092132568,32.8076133728027
"21212","21212",B5,G6350,S,"12021176","97318","+39.3685612","-076.6148978",30.9107755283502,30.9828310012817,29.1962928771973,31.8180809020996
"21214","21214",B5,G6350,S,"7392916","0","+39.3517934","-076.5643999",31.2157473507945,31.1932563781738,29.4116592407227,33.2426147460938
"21234","21234",B5,G6350,S,"33625986","11024","+39.3934171","-076.5342276",31.351856381172,31.439061164856,28.4753971099854,32.5589637756348
"21239","21239",B5,G6350,S,"8377621","2110","+39.3670990","-076.5891708",31.3564367814005,31.5284862518311,28.4614238739014,32.3397827148438
"21251","21251",B5,G6350,S,"456625","0","+39.3447070","-076.5812420",31.1851593604005,31.2334938049316,29.6642093658447,32.1342811584473
"21206","21206",B5,G6350,S,"18571036","3869","+39.3384283","-076.5388766",31.2447706741793,31.2502193450928,28.5547409057617,32.5740127563477
"21236","21236",B5,G6350,S,"22189007","27168","+39.3884211","-076.4835503",30.53156758077,30.6623001098633,28.5309906005859,31.4756641387939
"21213","21213",B5,G6350,S,"8838038","1899","+39.3150310","-076.5774287",32.2161896576143,32.1381187438965,29.1545391082764,34.4516105651855
"21237","21237",B5,G6350,S,"29801576","659932","+39.3415368","-076.4952701",31.9922390229537,31.9914741516113,31.0593395233154,32.7446136474609
"21227","21227",B5,G6350,S,"29876646","556260","+39.2399698","-076.6794498",32.1778490204409,32.1734752655029,31.1791305541992,33.1541290283203
"21208","21208",B5,G6350,S,"31911112","65741","+39.3864250","-076.7211463",31.1358817982441,31.0924224853516,30.5697574615479,31.8481330871582
