ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,t_pm_mean,t_pm_median,t_pm_min,t_pm_max
"21201","21201",B5,G6350,S,"3346928","0","+39.2948226","-076.6222236",32.6240464180032,32.5780982971191,31.4561195373535,35.3017082214355
"21202","21202",B5,G6350,S,"4104677","331280","+39.2965258","-076.6070163",32.7099749873053,32.7888984680176,31.3313369750977,34.7435569763184
"21205","21205",B5,G6350,S,"5309071","0","+39.3022903","-076.5644838",32.3946761871855,32.4596786499023,29.576976776123,34.1255950927734
"21206","21206",B5,G6350,S,"18571036","3869","+39.3384283","-076.5388766",31.1255721741291,31.1611289978027,28.296443939209,32.5740127563477
"21207","21207",B5,G6350,S,"26705585","81230","+39.3241672","-076.7194841",30.5119696943326,30.7664604187012,27.3189868927002,32.7416496276855
"21209","21209",B5,G6350,S,"18343962","101688","+39.3731913","-076.6700026",30.006071341845,30.1778659820557,27.5485801696777,31.640552520752
"21210","21210",B5,G6350,S,"8590404","5595","+39.3591561","-076.6326854",30.1595235849128,30.3365268707275,27.4487228393555,32.4400062561035
"21211","21211",B5,G6350,S,"7217872","25184","+39.3298170","-076.6394081",31.4124318738361,31.5791130065918,28.6481666564941,33.3077278137207
"21212","21212",B5,G6350,S,"12021176","97318","+39.3685612","-076.6148978",30.5639110571978,30.8694133758545,27.4593105316162,31.9033031463623
"21213","21213",B5,G6350,S,"8838038","1899","+39.3150310","-076.5774287",32.2161896576143,32.1381187438965,29.1545391082764,34.4516105651855
"21214","21214",B5,G6350,S,"7392916","0","+39.3517934","-076.5643999",31.2157473507945,31.1932563781738,29.4116592407227,33.2426147460938
"21215","21215",B5,G6350,S,"17646082","9673","+39.3452409","-076.6835656",31.4512234596321,31.4750528335571,28.5252571105957,33.4067344665527
"21216","21216",B5,G6350,S,"8635708","145490","+39.3105945","-076.6717168",30.9669045884382,31.2269401550293,27.4893741607666,33.2537002563477
"21217","21217",B5,G6350,S,"5996500","191953","+39.3084728","-076.6391545",32.4211700953323,32.4609203338623,30.5953140258789,33.5271453857422
"21218","21218",B5,G6350,S,"10835058","316361","+39.3301071","-076.6014512",31.8397843164213,31.8384037017822,28.362606048584,33.6476936340332
"21222","21222",B5,G6350,S,"28394454","5705215","+39.2648400","-076.4925655",31.5027914386506,31.6368598937988,28.2173328399658,33.4334564208984
"21223","21223",B5,G6350,S,"6816138","48191","+39.2829512","-076.6538772",32.2617327697641,32.2770843505859,30.0932331085205,34.0748443603516
"21224","21224",B5,G6350,S,"24534479","8880469","+39.2748602","-076.5428334",32.1366792677332,32.0851783752441,29.2488040924072,34.6157760620117
"21225","21225",B5,G6350,S,"16768581","613825","+39.2261173","-076.6157349",31.1323566640168,31.273099899292,28.4626636505127,32.8076133728027
"21226","21226",B5,G6350,S,"25718275","17454348","+39.2088881","-076.5629259",31.6773533556856,31.7315998077393,28.5950374603271,33.3047943115234
"21227","21227",B5,G6350,S,"29876646","556260","+39.2399698","-076.6794498",31.0141423101494,31.3200569152832,27.8460960388184,33.1541290283203
"21229","21229",B5,G6350,S,"15228872","9461","+39.2842394","-076.6914035",30.8498713715042,31.1131057739258,27.5034465789795,33.1102905273438
"21230","21230",B5,G6350,S,"16332049","5330203","+39.2661273","-076.6238067",32.0904806662285,32.110315322876,29.2173862457275,33.7744178771973
"21231","21231",B5,G6350,S,"2256237","384066","+39.2872004","-076.5919534",32.692737654001,32.6065845489502,30.9167804718018,34.7550163269043
"21237","21237",B5,G6350,S,"29801576","659932","+39.3415368","-076.4952701",31.2419667970867,31.3193044662476,28.3289699554443,32.8920135498047
"21239","21239",B5,G6350,S,"8377621","2110","+39.3670990","-076.5891708",31.0788580442782,31.1595983505249,28.4614238739014,32.3397827148438
"21251","21251",B5,G6350,S,"456625","0","+39.3447070","-076.5812420",31.1851593604005,31.2334938049316,29.6642093658447,32.1342811584473
