ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,t_am_mean,t_am_median,t_am_min,t_am_max
"21201","21201",B5,G6350,S,"3346928","0","+39.2948226","-076.6222236",26.596455525024727,26.583156585693359,25.658662796020508,28.316192626953125
"21202","21202",B5,G6350,S,"4104677","331280","+39.2965258","-076.6070163",26.772511385344362,26.684829711914062,26.103820800781250,27.976816177368164
"21205","21205",B5,G6350,S,"5309071","0","+39.3022903","-076.5644838",26.258709585735161,26.470426559448242,24.259410858154297,27.468290328979492
"21206","21206",B5,G6350,S,"18571036","3869","+39.3384283","-076.5388766",25.037044560517980,25.068643569946289,23.115173339843750,26.116699218750000
"21207","21207",B5,G6350,S,"26705585","81230","+39.3241672","-076.7194841",24.347328381632632,24.271877288818359,23.030755996704102,26.299919128417969
"21209","21209",B5,G6350,S,"18343962","101688","+39.3731913","-076.6700026",23.936399406352276,23.902053833007812,22.532293319702148,25.236932754516602
"21210","21210",B5,G6350,S,"8590404","5595","+39.3591561","-076.6326854",24.030009913926214,23.956563949584961,23.307210922241211,26.110040664672852
"21211","21211",B5,G6350,S,"7217872","25184","+39.3298170","-076.6394081",25.052014586874794,25.003509521484375,23.944717407226562,26.818519592285156
"21212","21212",B5,G6350,S,"12021176","97318","+39.3685612","-076.6148978",24.282161073948775,24.211719512939453,23.341270446777344,25.496393203735352
"21213","21213",B5,G6350,S,"8838038","1899","+39.3150310","-076.5774287",26.176147610717635,26.379294395446777,23.968347549438477,27.192823410034180
"21214","21214",B5,G6350,S,"7392916","0","+39.3517934","-076.5643999",25.128468704734690,25.116275787353516,24.121397018432617,26.428596496582031
"21215","21215",B5,G6350,S,"17646082","9673","+39.3452409","-076.6835656",25.030808154301944,24.995311737060547,23.722373962402344,26.166456222534180
"21216","21216",B5,G6350,S,"8635708","145490","+39.3105945","-076.6717168",24.809784657021268,24.895004272460938,23.053962707519531,26.230960845947266
"21217","21217",B5,G6350,S,"5996500","191953","+39.3084728","-076.6391545",25.941211865239058,25.938431739807129,24.692369461059570,27.591953277587891
"21218","21218",B5,G6350,S,"10835058","316361","+39.3301071","-076.6014512",25.580966031409911,25.504909515380859,23.869569778442383,27.054639816284180
"21222","21222",B5,G6350,S,"28394454","5705215","+39.2648400","-076.4925655",25.659657481796735,25.785736083984375,23.694175720214844,27.608232498168945
"21223","21223",B5,G6350,S,"6816138","48191","+39.2829512","-076.6538772",25.819037940683476,25.876289367675781,24.663770675659180,27.083869934082031
"21224","21224",B5,G6350,S,"24534479","8880469","+39.2748602","-076.5428334",26.529736321932557,26.698984146118164,24.098392486572266,27.773675918579102
"21225","21225",B5,G6350,S,"16768581","613825","+39.2261173","-076.6157349",25.133438285116039,25.137804985046387,23.477659225463867,26.651916503906250
"21226","21226",B5,G6350,S,"25718275","17454348","+39.2088881","-076.5629259",26.015544363953403,26.063549995422363,23.910150527954102,27.659103393554688
"21227","21227",B5,G6350,S,"29876646","556260","+39.2399698","-076.6794498",24.890873390417312,24.990470886230469,23.234020233154297,27.340482711791992
"21229","21229",B5,G6350,S,"15228872","9461","+39.2842394","-076.6914035",24.964980513707456,25.115602493286133,23.162675857543945,26.687170028686523
"21230","21230",B5,G6350,S,"16332049","5330203","+39.2661273","-076.6238067",26.350123966609083,26.462733268737793,23.754770278930664,28.088893890380859
"21231","21231",B5,G6350,S,"2256237","384066","+39.2872004","-076.5919534",26.789885366884533,26.789591789245605,26.194400787353516,27.321104049682617
"21237","21237",B5,G6350,S,"29801576","659932","+39.3415368","-076.4952701",25.051747547899343,25.089138031005859,23.220483779907227,26.525177001953125
"21239","21239",B5,G6350,S,"8377621","2110","+39.3670990","-076.5891708",24.795127299486644,24.855890274047852,23.539457321166992,25.893516540527344
"21251","21251",B5,G6350,S,"456625","0","+39.3447070","-076.5812420",24.828589140130632,24.791126251220703,24.125473022460938,25.740413665771484
