ZIPCODE,medicaid_kidney_disease_prev,medicaid_copd_prev,medicaid_asthma_prev,medicaid_heart_attack_prev,medicaid_congestive_artery_disease_prev,medicaid_angina_pectoris_prev,medicaid_heart_disease_prev,medicaid_diabetes_prev,temp_median_aft,median_household_income_d,poverty_%
21201,0.123485736615866,0.300898788589293,0.201250488472059,0.00957405236420477,0.0388823759280969,0.00332161000390778,0.444118796404846,0.181320828448613,95.90000686645514,33877,30.799122532121594
21202,0.13758389261745,0.273729626078619,0.186800894854586,0.0143815915627996,0.0417066155321189,0.00287631831255992,0.433844678811122,0.172579098753595,97.10995864868168,44656,29.288528112689505
21205,0.115533443891653,0.307490326147043,0.210751796572692,0.0197622996130459,0.0436705362078496,0.0033167495854063,0.388474295190713,0.143311221669431,95.74159774780273,28675,37.13189973976168
21206,0.0820108246949821,0.217594716081093,0.163471241170535,0.00981561324649115,0.0291716356297587,0.00137602054857353,0.306485643518943,0.13824419778002,94.12236747741704,50975,14.026050917702781
21207,0.0995260663507109,0.195406489245352,0.156884190059546,0.00960019443431766,0.0336614412443796,0.001093693036821,0.308907522177664,0.129663385587556,93.49630813598631,59013,13.014027972320363
21209,0.0635524171645845,0.119500271591526,0.101032047800109,0.0114068441064639,0.0239000543183053,0.00162954915806627,0.228136882129278,0.0820206409560022,93.10016174316404,78900,7.645471780662097
21210,0.0890052356020942,0.193717277486911,0.146596858638743,0.0104712041884817,0.0209424083769634,0,0.31413612565445,0.146596858638743,93.20989456176764,93203,8.354997758852532
21211,0.0892414476945959,0.254833911750124,0.143282102131879,0.0104115022310362,0.0356965790778384,0.0029747149231532,0.375309866137828,0.132870599900843,94.77475280761712,63733,10.838420331381588
21212,0.119334355156558,0.257061528355594,0.187869498576746,0.0153273483687322,0.0459820451061966,0.0013137727173199,0.393037004598205,0.168162907816948,93.50357627868657,73244,13.3015494636472
21213,0.124531312325489,0.29206222576785,0.223932987634623,0.01523733546071,0.0445153570003989,0.00263262863980854,0.395293179098524,0.153091344236139,95.43202018737799,34917,28.151712784144873
21214,0.0915492957746479,0.23423147581139,0.1579914268218,0.011328842620943,0.0407225964482547,0.00153092467850582,0.350581751377832,0.155848132271892,93.76628341674812,65792,12.06930114853027
21215,0.100441809742184,0.248140484312958,0.191544097086293,0.00978692466864269,0.0367429114702757,0.00167775851462446,0.380403780549186,0.155528214305688,94.62790679931645,36500,25.59840653868608
21216,0.130726770929163,0.268077276908924,0.201471941122355,0.00643974241030359,0.0408463661453542,0.00183992640294388,0.39705611775529,0.165225390984361,93.98787078857414,37314,26.17729478504545
21217,0.137904735491923,0.274838799140262,0.198710393122097,0.012480066560355,0.0436802329612425,0.00152534146848783,0.41399154128822,0.16369687304999,95.76754608154297,28116,36.66991507726577
21218,0.122092050209205,0.280585774058577,0.201673640167364,0.0116317991631799,0.0463598326359833,0.00184100418410042,0.432887029288703,0.165774058577406,95.23146133422861,43352,24.547429398986242
21222,0.0841204250295159,0.24232585596222,0.146472845336482,0.0168240850059032,0.0301800472255018,0.00110684769775679,0.324601534828808,0.127287485242031,95.05787048339846,50644,14.372016158648549
21223,0.122997329773031,0.291638851802403,0.211365153538051,0.0109312416555407,0.0352970627503338,0.002586782376502,0.390353805073431,0.14861481975968,95.44959487915034,26899,38.48148620499086
21224,0.0877262387498764,0.279299772524973,0.183661358916032,0.0164177628325586,0.0359014934230047,0.00158243497181288,0.351003857185244,0.133517950746711,95.27554397583015,65501,17.651847586521853
21225,0.10294388224471,0.24130634774609,0.166145354185833,0.013247470101196,0.0334866605335787,0.00137994480220791,0.328886844526219,0.133486660533579,94.46009750366215,41904,24.852323244625786
21226,0.104563835932987,0.251299826689775,0.137492778740612,0.0219526285384171,0.0323512420566147,0.00173310225303293,0.355863662622761,0.154823801270942,95.06192169189453,73438,15.406525116519937
21227,0.0777914976186276,0.195801728699947,0.128064914446992,0.0130534485799965,0.0245193155759393,3.52795907567472e-4,0.249073910742635,0.106015170224025,94.19586944580087,64692,16.485253332538097
21229,0.118154376886589,0.244415696420871,0.185252263906856,0.00810694264769297,0.0317378180250108,0.00112117291936179,0.340664079344545,0.154721862871928,93.86475524902346,47422,18.574373212182397
21230,0.0991410164638511,0.258410880458125,0.162312097351467,0.0134216177523264,0.0359699355762348,0.00178954903364352,0.356836077308518,0.147816750178955,95.26861228942869,73762,14.706222530650011
21231,0.126572116671127,0.297564891624298,0.201766122558202,0.0155204709660155,0.0556596200160557,0.00321113192400321,0.432432432432432,0.166176077067166,95.91853256225582,69979,19.805194805194805
21237,0.0917152858809802,0.181563593932322,0.122053675612602,0.0123687281213536,0.0224037339556593,4.66744457409568e-4,0.294982497082847,0.122053675612602,94.13182601928716,64758,7.8988782856186175
21239,0.0956651718983558,0.237454623104847,0.190903267136451,0.00896860986547085,0.0224215246636771,8.54153320521034e-4,0.319026265214606,0.131112534699979,93.83539428710944,52811,11.91944371556022
