date,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-06-03,76.2,75.5,42,72,71,4.200000000000003,4.5
2019-06-13,80.1,81.9,59,67.4,67.4,12.699999999999989,14.5
2019-06-14,79.1,79.1,44.8,67.6,66.5,11.5,12.599999999999994
2019-06-15,81.5,82.8,52.1,72.4,71.6,9.099999999999994,11.200000000000003
2019-06-16,84.1,87,54.1,77.8,78.8,6.299999999999997,8.200000000000003
2019-06-17,86.4,91.2,58,80.7,82.6,5.700000000000003,8.600000000000009
2019-06-18,86.9,93.8,62.4,78.6,80.8,8.300000000000011,13
2019-06-19,87.4,95.8,63.9,77.5,80.1,9.900000000000006,15.700000000000003
2019-06-20,88.8,98.2,62.6,81.2,83.7,7.599999999999994,14.5
2019-06-21,86.6,89,48.1,76.9,76.8,9.699999999999989,12.200000000000003
2019-06-22,85.9,85.1,38.1,75.5,74.4,10.400000000000006,10.699999999999989
2019-06-23,87.4,86.8,38.3,77.3,76.1,10.100000000000009,10.700000000000003
2019-06-24,88.4,91.9,49.7,79,81.5,9.400000000000006,10.400000000000006
2019-06-25,89.3,94.8,52.8,82,83.2,7.299999999999997,11.599999999999994
2019-06-26,90,92.8,45.7,83.2,83.5,6.799999999999997,9.299999999999997
2019-06-27,92.1,97.7,48.1,85.2,87.2,6.8999999999999915,10.5
2019-06-28,92.5,100.1,50.8,84.1,86.8,8.400000000000006,13.299999999999997
2019-06-29,91.6,98.2,50.8,84.1,86.7,7.5,11.5
2019-06-30,89.2,91,43.7,82.9,82.5,6.299999999999997,8.5
2019-07-01,88.4,88.4,39.6,77.8,77.3,10.600000000000009,11.100000000000009
2019-07-02,89.7,93,46.7,81.8,83.4,7.900000000000006,9.599999999999994
2019-07-03,90.1,96.4,53.1,82.7,86.1,7.3999999999999915,10.300000000000011
2019-07-04,90.9,101.4,59.3,81.9,86.6,9,14.800000000000011
2019-07-05,89.9,100.2,61.4,83.3,89.2,6.6000000000000085,11
2019-07-06,91.1,101.8,59.3,84.9,90.6,6.199999999999989,11.200000000000003
2019-07-07,89.6,98.5,59.6,79.8,83.5,9.799999999999997,15
2019-07-08,85.4,90.8,61.1,75.2,76,10.200000000000003,14.799999999999997
2019-07-09,85.9,89.3,54.8,78.9,80.9,7,8.399999999999991
2019-07-10,87,90.7,53.9,81.2,83.1,5.799999999999997,7.6000000000000085
2019-07-11,87.1,96.4,65.8,79.4,83.2,7.699999999999989,13.200000000000003
2019-07-12,86.8,91.7,57.9,81.6,83.1,5.200000000000003,8.600000000000009
2019-07-13,89.1,92.1,47.6,83.4,84.2,5.699999999999989,7.8999999999999915
2019-07-14,90.6,95.5,49.4,85.4,87.4,5.199999999999989,8.099999999999994
2019-07-15,90.4,92.5,43.2,82.3,83.3,8.100000000000009,9.200000000000003
2019-07-16,92.1,99.8,51.7,85.8,90.7,6.299999999999997,9.099999999999994
2019-07-17,92.4,104,57.4,85.7,91.6,6.700000000000003,12.400000000000006
2019-07-18,92,105.5,60.9,85.3,92.2,6.700000000000003,13.299999999999997
2019-07-19,94.3,107.8,55.9,90.1,97.5,4.200000000000003,10.299999999999997
2019-07-20,94.9,108.9,55.4,90.4,98.7,4.5,10.200000000000003
